"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"122",11,"Circle",13,4.392254601,1.848159509,5,"F",0.333333333333333
"123",11,"Circle",13,4.844708589,2.45398773,6,"F",0.333333333333333
"124",11,"Circle",13,3.114135353,1.119631902,2,"F",0.333333333333333
"125",11,"Circle",13,3.05278566,1.602760736,4,"F",0.333333333333333
"126",11,"Circle",13,2.181110046,1.789365414,4,"F",0.333333333333333
"127",11,"Circle",13,2.843174847,0.991819402,2,"M",0.333333333333333
"128",11,"Circle",13,3.666282592,0.743865031,1,"M",0.333333333333333
"129",11,"Circle",13,4.502172163,1.411042945,3,"F",0.333333333333333
"130",11,"Circle",13,4.351355445,0.92791411,2,"M",0.333333333333333
"131",11,"Circle",13,2.554319402,2.45398773,6,"F",0.333333333333333
"132",11,"Circle",13,2.358128834,0.814162193,2,"?",0.333333333333333
"133",11,"Circle",13,4.047800997,1.70117523,4,"F",0.333333333333333
"134",11,"Circle",3,3.552695794,0.545685279,1,"M",1
"135",11,"Circle",3,2.828136331,0.736040609,1,"M",1
"136",11,"Circle",3,3.088591371,0.608533358,1,"M",1
"137",11,"Circle",3,3.939448876,1.411046048,3,"M",1
"138",11,"Circle",3,3.915277375,1.604423495,4,"M",1
"139",11,"Circle",3,3.799251269,1.725284627,4,"M",1
"140",11,"Circle",3,3.736403191,1.879985497,5,"M",1
"141",11,"Circle",3,3.173192531,1.631013416,4,"M",1
"142",11,"Circle",3,3.388324873,2.058859681,5,"M",1
"143",11,"Circle",3,2.64684554,0.989847716,2,"M",1
"144",12,"Tube",3,3.700638337,1.371105592,1,"M",0.863636363636364
"145",12,"Tube",3,2.271891096,1.547706034,2,"M",0.863636363636364
"146",12,"Tube",3,2.132082414,1.676477189,2,"M",0.863636363636364
"147",12,"Tube",3,1.440397351,2.857492642,3,"F",0.863636363636364
"148",12,"Tube",3,1.609639441,2.872209345,3,"M",0.863636363636364
"149",12,"Tube",3,2.514716703,3.405689845,4,"M",0.863636363636364
"150",12,"Tube",3,3.062301325,3.357247976,5,"F",0.863636363636364
"151",12,"Tube",3,3.460264901,3.379935614,5,"M",0.863636363636364
"152",12,"Tube",3,3.302060338,3.162864238,5,"M",0.863636363636364
"153",12,"Tube",3,3.519131714,3.218051876,5,"M",0.863636363636364
"154",12,"Tube",3,3.651582046,3.427764901,5,"M",0.863636363636364
"155",12,"Tube",3,3.732523915,3.44616078,5,"M",0.863636363636364
"156",12,"Tube",3,4.245768948,3.210080942,5,"M",0.863636363636364
"157",12,"Tube",3,4.078979029,3.462717071,5,"M",0.863636363636364
"158",12,"Tube",3,4.623497057,3.251777042,6,"M",0.863636363636364
"159",12,"Tube",3,4.711797277,3.364606328,6,"F",0.863636363636364
"160",12,"Tube",3,4.802551508,3.433283664,6,"M",0.863636363636364
"161",12,"Tube",3,5.887293966,3.137110007,6,"M",0.863636363636364
