"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"150",18,"Tube",10,3.17077728,0.971599402,"Low","N",2,0.145541814635732
"151",18,"Tube",10,2.856875934,0.871948804,"Low","N",2,0.101313531930277
"152",18,"Tube",11,3.926744242,1.739443378,"Low","N",5,0.0387874777030956
"153",18,"Tube",12,3.925088652,1.817375887,"Low","N",5,0.161811630048247
"154",18,"Tube",12,4.271929825,1.682017544,"Low","Y",6,0.218595150996838
"155",18,"Tube",14,3.963733796,1.768518519,"Low","N",5,0.021121282264966
"156",19,"Tube",3,3.465099037,1.48099634,"Low","Y",1,0.196935903662679
"157",19,"Tube",3,1.83897694,1.738079926,"Low","Y",3,0.156235328643855
"158",19,"Tube",3,1.623358449,1.880442034,"Low","Y",3,0.144711293445592
"159",19,"Tube",3,4.201796931,3.069799852,"Low","N",5,0.171000811837948
"160",19,"Tube",3,4.158948976,3.277125325,"Low","N",5,0.16715561972527
"161",19,"Tube",4,3.342294721,1.479308407,"Low","N",2,0.189148431379018
"162",19,"Tube",4,2.895894428,1.505376344,"Low","N",2,0.149922648765429
"163",19,"Tube",4,2.267025904,1.481752199,"Low","N",2,0.0984998426265903
"164",19,"Tube",4,1.452426686,3.00342131,"Low","Y",4,0.0777954349093626
"165",19,"Tube",4,5.251710655,3.172043011,"Low","Y",6,0.260882773650198
"166",19,"Tube",5,2.771929825,3.287280702,"Low","Y",4,0.0388024238442004
"167",19,"Tube",5,2.682017544,3.174342105,"Low","Y",4,0.0295995963672165
"168",19,"Tube",5,3.150219298,3.191885965,"Low","N",5,0.0711413220928958
"169",19,"Tube",5,4.813596491,3.248537281,"Low","Y",6,0.218774168439174
"170",19,"Tube",6,1.794217687,1.538407738,"Low","Y",3,0.180401413092419
"171",19,"Tube",6,1.689343112,1.776502976,"Low","Y",3,0.159686946734783
"172",19,"Tube",6,1.56462585,2.00042517,"Low","Y",3,0.141785469754469
"173",19,"Tube",6,2.580782313,3.301445578,"Low","Y",4,0.0225445787878956
"174",19,"Tube",6,3.635204082,3.232355442,"Low","N",5,0.114069972891595
"175",19,"Tube",8,2.247,1.706,"Low","N",2,0.102987457360051
"176",19,"Tube",8,1.631,1.783,"Low","Y",3,0.169069291136145
"177",19,"Tube",8,1.859,3.095,"Low","Y",4,0.0540942146358829
"178",19,"Tube",8,3.748,3.08,"Low","N",5,0.114934104688085
"179",19,"Tube",8,4.567,3.224,"Low","N",5,0.187043373911311
"180",19,"Tube",9,3.603050595,1.54327939,"Low","Y",1,0.217199966045222
"181",19,"Tube",9,2.685392485,1.548238467,"Low","N",2,0.136936918771284
"182",19,"Tube",9,2.407613467,1.580481771,"Low","N",2,0.112415954491921
"183",19,"Tube",9,2.305928199,3.064856771,"Low","Y",4,0.0132608953716678
"184",19,"Tube",9,4.515128348,3.060515253,"Low","N",5,0.189822943203234
"185",19,"Tube",10,1.704182657,1.632226937,"Low","Y",3,0.246932550856201
"186",19,"Tube",10,1.554119926,1.922509225,"Low","Y",3,0.223315125218688
"187",19,"Tube",10,1.588560886,2.485239852,"Low","Y",3,0.174677617674951
"188",19,"Tube",10,1.613160517,2.197416974,"Low","Y",3,0.198375496196556
"189",19,"Tube",10,1.637761993,3.138376384,"Low","Y",4,0.140052292519529
"190",19,"Tube",12,2.980913174,1.635479042,"Low","N",2,0.156026168330513
"191",19,"Tube",12,2.711452096,1.556886228,"Low","N",2,0.133601319343005
"192",19,"Tube",12,1.693488024,2.362150075,"Low","Y",3,0.105094122611719
"193",19,"Tube",12,2.309754865,3.327718937,"Low","Y",4,0.0165217672334875
"194",19,"Tube",12,2.377120135,3.158059506,"Low","Y",4,0.00413566304805176
"195",19,"Tube",12,5.160928144,3.364520958,"Low","Y",6,0.251625491844559
"196",19,"Tube",13,1.562027231,1.781391831,"Low","Y",3,0.15215623295662
"197",19,"Tube",13,1.486384266,2.723146747,"Low","Y",3,0.0796029731589143
"198",19,"Tube",13,2.237140696,3.34720121,"Low","Y",4,0.0152771064418589
"199",19,"Tube",13,3.003655446,3.3213559,"Low","Y",4,0.0679135971328705
"200",19,"Tube",13,3.245712935,3.202849849,"Low","N",5,0.0881773455760799
"201",19,"Tube",14,2.445558649,1.629547142,"Low","N",2,0.0272980377904164
"202",19,"Tube",14,2.206755754,1.423533779,"Low","N",2,0.0481266182425172
"203",19,"Tube",14,1.533036377,1.970428731,"Low","Y",3,0.11555605859902
"204",19,"Tube",14,1.79844098,3.170007424,"Low","Y",4,0.103672802179234
"205",19,"Tube",14,3.228160728,3.163201559,"Low","N",5,0.214582466293423
"206",20,"Tube",1,2.995555556,1.931111111,"Low","N",2,0.0255575960322614
"207",20,"Tube",3,1.641203704,1.753472222,"Low","Y",3,0.0740532569616193
"208",20,"Tube",4,3.585343228,3.759276438,"Low","N",5,0.016403483977076
"209",20,"Tube",5,1.794842007,1.748373606,"Low","N",2,0.206336047280353
"210",20,"Tube",7,2.242637342,1.744617669,"Low","N",2,0.23661605016658
"211",20,"Tube",8,1.089552239,2.501865672,"Low","Y",3,0.254530092520611
"212",20,"Tube",12,1.174765845,2.730997392,"Low","Y",3,0.232447481543729
"213",20,"Tube",13,3.935509907,3.763598485,"Low","N",5,0.0218849494465062
"214",20,"Tube",14,2.701325883,1.718705363,"Low","N",2,0.266528170823344
"215",11,"Circle",3,4.072394851,2.186970631,"Low","N",6,0.0153529453041366
"216",11,"Circle",3,4.61143401,3.06200145,"Low","N",8,0.0868107290882749
"217",11,"Circle",3,3.207034083,3.063814358,"Low","N",8,0.083425540185888
"218",11,"Circle",3,2.922407542,3.125453227,"Low","N",8,0.100133777583421
"219",11,"Circle",4,4.957433688,2.626156369,"Low","N",7,0.0901727769503133
"220",11,"Circle",4,4.088834782,3.196174806,"Low","N",8,0.0477735436796902
"221",11,"Circle",4,3.444787977,2.68784791,"Low","N",7,0.0202925151947442
"222",11,"Circle",4,4.819246784,1.145589001,"Low","N",3,0.136040660566456
"223",11,"Circle",4,3.115978024,3.07896384,"Low","N",8,0.0539127141083801
"224",11,"Circle",5,3.129893238,1.976868327,"Low","N",5,0.0673213060958146
"225",11,"Circle",5,3.451957295,2.919928826,"Low","N",8,0.0822373669340298
"226",11,"Circle",5,2.941281139,3.048042705,"Low","N",8,0.113141077171274
"227",11,"Circle",5,4.795966192,2.379003559,"Low","N",6,0.0619838212684999
"228",11,"Circle",5,4.824435943,1.852313167,"Low","N",5,0.0568412256335113
"229",11,"Circle",6,3.458332721,1.805759191,"Low","N",5,0.0620437296559744
