"","Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
"322",2,"Circle",12,3.733480176,1.465368943,7,0.251884162613864,"High","N"
"323",2,"Circle",13,3.542124542,1.183760073,6,0.20853623356024,"High","N"
"324",2,"Circle",13,3.732600733,1.486569597,8,0.255529635045488,"High","N"
"325",3,"Circle",4,3.672043011,2.308243728,6,0.194243884347426,"High","N"
"326",3,"Circle",5,3.803419414,2.415141026,7,0.203173400648564,"High","N"
"327",3,"Circle",6,3.745755095,2.541848617,7,0.213780669596979,"High","N"
"328",3,"Circle",7,3.1640625,1.899350649,5,0.167457568039191,"High","N"
"329",3,"Circle",8,4.355244253,2.077922078,6,0.182364010288092,"High","N"
"330",3,"Circle",9,4.295437822,2.024159308,5,0.176733724109705,"High","N"
"331",3,"Circle",10,3.809088085,1.926169591,5,0.162075330936497,"High","N"
"332",3,"Circle",11,3.657611968,2.016029736,5,0.169734696889254,"High","N"
"333",3,"Circle",12,3.959990962,1.917932032,5,0.163587579982718,"High","N"
"334",3,"Circle",13,3.707569597,2.100122711,6,0.176665373792127,"High","N"
"335",4,"Circle",4,3.554572271,1.744100295,7,0.18992310107179,"High","N"
"336",4,"Circle",4,3.47650514,1.769456681,7,0.193352334522364,"High","N"
"337",4,"Circle",5,3.340675477,1.712555066,6,0.189581363633216,"High","N"
"338",4,"Circle",5,4.016152717,1.953010279,7,0.21285783145193,"High","N"
"339",4,"Circle",6,3.516886931,1.565712188,6,0.171167089540944,"High","N"
"340",4,"Circle",6,3.646755162,1.810471976,7,0.196726594728731,"High","N"
"341",4,"Circle",7,4.05543399,1.796134209,7,0.19660057097147,"High","N"
