"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
12,5,"Tube",1,0.198019801980198,"Low","Y"
12,5,"Tube",2,0.118811881188119,"Low","N"
12,5,"Tube",3,0.128712871287129,"Low","Y"
12,5,"Tube",4,0.158415841584158,"Low","Y"
12,5,"Tube",5,0.128712871287129,"Low","N"
12,5,"Tube",6,0.0891089108910891,"Low","Y"
12,5,"Tube",7,0.108910891089109,"Low","Y"
12,5,"Tube",8,0.0693069306930693,"Low","N"
12,7,"Tube",1,0,"Low","Y"
12,7,"Tube",2,0.115789473684211,"Low","N"
12,7,"Tube",3,0.242105263157895,"Low","Y"
12,7,"Tube",4,0.221052631578947,"Low","Y"
12,7,"Tube",5,0.0736842105263158,"Low","N"
12,7,"Tube",6,0.0315789473684211,"Low","Y"
12,7,"Tube",7,0.263157894736842,"Low","Y"
12,7,"Tube",8,0.0526315789473684,"Low","N"
12,8,"Tube",1,0.113207547169811,"Low","Y"
12,8,"Tube",2,0.160377358490566,"Low","N"
12,8,"Tube",3,0.160377358490566,"Low","Y"
12,8,"Tube",4,0.0943396226415094,"Low","Y"
12,8,"Tube",5,0.113207547169811,"Low","N"
12,8,"Tube",6,0.132075471698113,"Low","Y"
12,8,"Tube",7,0.179245283018868,"Low","Y"
12,8,"Tube",8,0.0471698113207547,"Low","N"
12,9,"Tube",1,0.0102040816326531,"Low","Y"
12,9,"Tube",2,0,"Low","N"
12,9,"Tube",3,0.0918367346938776,"Low","Y"
12,9,"Tube",4,0.173469387755102,"Low","Y"
12,9,"Tube",5,0.23469387755102,"Low","N"
12,9,"Tube",6,0.26530612244898,"Low","Y"
12,9,"Tube",7,0.163265306122449,"Low","Y"
12,9,"Tube",8,0.0612244897959184,"Low","N"
12,10,"Tube",1,0.087378640776699,"Low","Y"
12,10,"Tube",2,0.145631067961165,"Low","N"
12,10,"Tube",3,0.135922330097087,"Low","Y"
12,10,"Tube",4,0.155339805825243,"Low","Y"
12,10,"Tube",5,0.145631067961165,"Low","N"
12,10,"Tube",6,0.12621359223301,"Low","Y"
12,10,"Tube",7,0.135922330097087,"Low","Y"
12,10,"Tube",8,0.0679611650485437,"Low","N"
12,11,"Tube",1,0,"Low","Y"
12,11,"Tube",2,0,"Low","N"
12,11,"Tube",3,0.112359550561798,"Low","Y"
12,11,"Tube",4,0.112359550561798,"Low","Y"
12,11,"Tube",5,0.224719101123595,"Low","N"
12,11,"Tube",6,0.146067415730337,"Low","Y"
12,11,"Tube",7,0.382022471910112,"Low","Y"
