"Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
1,"Tube",13,1.822125813,2.265005423,"High","Y",3,0.0833497059013516
1,"Tube",13,6.301518438,3.223063991,"High","Y",6,0.387149477034443
1,"Tube",13,6.279826464,3.002532538,"High","Y",6,0.385042265575438
2,"Tube",4,4.44092827,1.763361463,"High","Y",6,0.0450855446063402
2,"Tube",5,4.690375088,1.875442321,"High","Y",6,0.0237533580672212
2,"Tube",6,4.171952079,1.755343552,"High","Y",6,0.113798873122805
2,"Tube",7,4.865248227,1.877659574,"High","Y",6,0.0392540113390602
2,"Tube",8,3.453389831,1.86970339,"High","N",5,0.203609519013593
2,"Tube",9,4.831917905,1.811748054,"High","Y",6,0.0379582398478138
2,"Tube",10,4.415546709,1.726233192,"High","Y",6,0.0433328475053914
2,"Tube",11,4.956077279,1.845322293,"High","Y",6,0.0567123588759196
2,"Tube",12,4.300847458,1.866172316,"High","Y",6,0.070879032975175
2,"Tube",13,4.783687943,1.781914894,"High","Y",6,0.0326453056530172
3,"Tube",4,2.131824713,3.382422773,"High","Y",4,0.0124171466470837
3,"Tube",6,2.907581759,3.75181686,"High","N",5,0.0656125392258713
3,"Tube",7,2.832853807,3.445281968,"High","Y",4,0.139730541701051
3,"Tube",7,2.832853807,3.445281968,"High","Y",4,0.0833258230580653
3,"Tube",8,3.08224163,3.64992722,"High","N",5,0.211100349330748
3,"Tube",9,2.037235903,3.428502855,"High","Y",4,0.123877465137998
3,"Tube",10,2.809575234,3.496520878,"High","Y",4,0.186993262552375
3,"Tube",11,3.10175126,3.37113031,"High","N",5,0.2091640959745
3,"Tube",12,2.59272877,1.787457906,"High","N",2,0.009826083426176
3,"Tube",13,3.123188406,3.509057971,"High","N",5,0.206997533599721
4,"Tube",4,2.1945047,1.51904013,"High","Y",3,0.15374939607807
4,"Tube",4,2.34318016,2.444688184,"High","Y",4,0.147875147065786
4,"Tube",5,2.313999633,2.438816079,"High","Y",4,0.171583189780292
4,"Tube",5,3.074114583,2.489224138,"High","Y",4,0.16086501195803
4,"Tube",6,2.773522976,1.320811451,"High","N",2,0.0186513373233033
4,"Tube",6,2.186813187,2.245421245,"High","Y",3,0.146742991658766
4,"Tube",7,2.465353756,1.300145879,"High","N",2,0.054174381706066
4,"Tube",7,2.35052106,1.64609114,"High","Y",3,0.0811482281321137
4,"Tube",8,2.353225983,2.330180131,"High","Y",3,0.163942613540187
4,"Tube",8,2.683150183,2.545177656,"High","Y",4,0.124335025380538
4,"Tube",9,2.289251812,2.030797101,"High","Y",3,0.118484503105734
4,"Tube",9,3.425524223,2.5,"High","N",5,0.189242525925332
4,"Tube",10,2.444204464,1.340293377,"High","N",2,0.0544543992071917
4,"Tube",10,6.161560904,2.530999271,"High","Y",6,0.389787811699198
4,"Tube",11,2.27217288,1.792763158,"High","Y",3,0.085681057899115
4,"Tube",11,5.114022926,2.621300946,"High","Y",6,0.286280407650452
4,"Tube",12,4.104803493,2.567321689,"High","N",5,0.179025064612829
4,"Tube",13,2.812947067,1.536123033,"High","N",2,0.0877723358403584
4,"Tube",13,2.265512266,2.211399711,"High","Y",3,0.0544393498826211
5,"Tube",4,2.996313191,1.043266129,"High","Y",3,0.072129818997764
5,"Tube",4,2.850574713,1.199233716,"High","Y",3,0.0332947637839708
5,"Tube",4,2.996313191,1.466973886,"High","Y",3,0.0432197007906628
5,"Tube",4,2.892720307,1.657088123,"High","Y",4,0.0599351662916137
5,"Tube",4,2.892720307,1.657088123,"High","Y",4,0.058417727713412
5,"Tube",5,2.786118168,1.174620862,"High","Y",3,0.081907599581806
5,"Tube",5,2.893518519,1.377314815,"High","Y",3,0.0434978598368396
5,"Tube",5,3.006799461,1.685271363,"High","Y",4,0.0335595399947604
5,"Tube",5,2.962962963,1.697530864,"High","Y",4,0.0279153697041823
5,"Tube",6,2.813373379,1.168319985,"High","Y",3,0.0788789589186972
5,"Tube",6,2.843884439,1.618358124,"High","Y",4,0.0066376365430043
5,"Tube",7,2.790519878,1.121941896,"High","Y",3,0.0261523004561061
5,"Tube",7,2.832820661,1.28968318,"High","Y",3,0.00723460576823992
5,"Tube",7,2.912844037,1.622706422,"High","Y",4,0.0716725272695573
5,"Tube",7,2.994110983,1.642985791,"High","Y",4,0.0827603135842805
5,"Tube",9,2.896578538,0.925349922,"High","Y",3,0.0568951469435476
5,"Tube",9,2.799377916,1.230559876,"High","Y",3,0.00490367271008085
5,"Tube",9,2.894770588,1.515033333,"High","Y",4,0.0603063109149704
5,"Tube",9,2.884313725,1.648366667,"High","Y",4,0.0827744011205212
5,"Tube",10,2.79729313,0.964090554,"High","Y",3,0.116186725448027
5,"Tube",10,2.823315769,1.31147541,"High","Y",3,0.0503752925017673
5,"Tube",10,2.869937695,1.437564252,"High","Y",3,0.0260722761646026
5,"Tube",10,2.94522391,1.621884735,"High","Y",4,0.018185454008677
5,"Tube",11,3.664705882,0.863166269,"High","Y",1,0.251233391629849
5,"Tube",11,3.033333333,0.871121718,"High","N",2,0.140065908620292
5,"Tube",11,2.753537736,1.554638365,"High","Y",4,0.0193493893909231
5,"Tube",11,3.213443396,1.676493711,"High","Y",4,0.0720375175265266
5,"Tube",12,2.782352941,1.033333333,"High","Y",3,0.0720482834020636
5,"Tube",12,2.782352941,1.033333333,"High","Y",3,0.117622596065461
5,"Tube",12,2.832040698,1.394703488,"High","Y",3,0.015531996222184
5,"Tube",12,2.832040698,1.394703488,"High","Y",3,0.0492014813366138
5,"Tube",12,2.833333333,1.554901961,"High","Y",4,0.0345818401952746
5,"Tube",12,2.914728682,1.604005814,"High","Y",4,0.0422895475834315
5,"Tube",12,2.914728682,1.604005814,"High","Y",4,0.0403138726842577
5,"Tube",13,2.869273302,0.904423381,"High","Y",3,0.138771279108955
5,"Tube",13,2.968009479,1.682464455,"High","Y",4,0.0153729038078434
6,"Tube",4,2.843701997,0.921658986,"High","Y",3,0.0562087762870779
6,"Tube",5,2.761250953,1.46071701,"High","Y",3,0.0694420836429232
6,"Tube",6,2.748470948,1.21559633,"High","Y",3,0.0216711037926094
6,"Tube",9,2.869066901,0.827464789,"High","Y",3,0.0851382415013742
6,"Tube",10,2.828758824,1.035294118,"High","Y",3,0.106565347155423
6,"Tube",11,2.544677545,1.469827117,"High","Y",3,0.0744462665161094
6,"Tube",12,2.769379845,0.980620155,"High","Y",3,0.0439732748566557
6,"Tube",13,2.90316358,0.918209877,"High","Y",3,0.0632484515596798
7,"Tube",4,2.068396262,1.890413806,"High","Y",3,0.0961244669367882
7,"Tube",5,2.443035714,2.964021739,"High","Y",4,0.117565193836221
7,"Tube",6,2.220319635,2.679476788,"High","Y",4,0.0827283809590641
7,"Tube",8,5.423763179,2.907542579,"High","Y",6,0.327392529718673
7,"Tube",9,2.143410853,1.911498062,"High","Y",3,0.00525716378985547
7,"Tube",10,3.077317588,2.866104071,"High","Y",4,0.16540598509397
7,"Tube",11,2.406120756,2.85429591,"High","Y",4,0.0164101496950732
7,"Tube",12,2.539222608,2.747555941,"High","Y",4,0.0158462562092948
7,"Tube",13,2.321016166,1.501154734,"High","N",2,0.0639023768610739
8,"Tube",3,2.984313725,0.719607843,"High","Y",3,0.353256140098673
8,"Tube",3,4.60915098,1.360131373,"High","Y",6,0.11191374556593
8,"Tube",4,4.584790769,0.804845787,"High","Y",7,0.27468125999014
8,"Tube",5,4.482084902,0.745154747,"High","N",8,0.410656289330101
8,"Tube",5,4.242994563,1.396208699,"High","Y",6,0.220645330345045
8,"Tube",6,3.084696663,0.692287036,"High","Y",3,0.162390936500751
8,"Tube",6,4.724322226,0.936684054,"High","Y",7,0.393044888231478
8,"Tube",8,4.486634458,0.704880397,"High","N",8,0.289281950227488
8,"Tube",11,3.034498037,1.002753279,"High","Y",3,0.381462555334992
8,"Tube",11,4.12316489,1.403462277,"High","Y",6,0.0852445315991253
9,"Tube",3,3.707729469,1.129227053,"High","Y",1,0.378006933429004
9,"Tube",3,3.283011272,1.326489533,"High","N",2,0.328660246589684
9,"Tube",3,2.748927134,1.343935185,"High","N",2,0.273505393308571
9,"Tube",3,5.630032206,1.540525362,"High","Y",7,0.263750696986661
9,"Tube",3,5.686392915,1.763285024,"High","Y",7,0.24334927697709
9,"Tube",3,2.043075684,2.423510467,"High","Y",3,0.202112316431897
9,"Tube",3,2.062198068,2.587560386,"High","Y",4,0.191255194026053
9,"Tube",3,5.524019726,2.650295894,"High","Y",6,0.172715115811367
9,"Tube",4,5.782781353,1.298012411,"High","Y",7,0.55803407206742
9,"Tube",4,3.044371782,1.386754783,"High","N",2,0.149336324328465
9,"Tube",4,5.692715802,1.529801122,"High","Y",7,0.531942904139174
9,"Tube",4,5.789403207,1.851655384,"High","Y",7,0.50527470890478
9,"Tube",4,2.053642774,2.101986477,"High","Y",3,0.0207168946635616
9,"Tube",4,5.345695318,2.549006285,"High","Y",6,0.406302077383544
9,"Tube",4,2.17946991,2.832450618,"High","Y",4,0.0973115835453487
9,"Tube",5,3.499469817,1.193407466,"High","Y",1,0.201021336512104
9,"Tube",5,3.112589357,1.231135822,"High","N",2,0.160723341520151
9,"Tube",5,5.592400715,1.376092137,"High","Y",7,0.543552960927876
9,"Tube",5,2.388800635,1.393963463,"High","N",2,0.083291736518377
9,"Tube",5,5.302488086,2.570160842,"High","Y",6,0.40030461555437
