"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",5,3.213356383,3.242317376,5,0.502154561056474,"High","Worker","N"
1,"Tube",5,5.673758865,1.705673759,8,0.93860275751653,"High","Worker","N"
1,"Tube",5,4.77423227,3.25177305,6,0.644624481099269,"High","Worker","Y"
1,"Tube",5,1.809693262,2.401891844,3,0.329808689166802,"High","Worker","Y"
1,"Tube",5,3.25,1.528368794,2,0.154027358012613,"High","Worker","N"
1,"Tube",5,5.661347518,1.505319149,8,0.947699677571973,"High","Worker","N"
1,"Tube",5,6.664303191,2.657210993,7,0.837798130640261,"High","Worker","Y"
1,"Tube",5,1.926714539,3.305554965,4,0.410465663152944,"High","Worker","Y"
1,"Tube",5,6.395980496,2.973994681,6,0.792841086575201,"High","Worker","Y"
1,"Tube",5,1.966312057,1.606382979,3,0.269943369929247,"High","Worker","Y"
1,"Tube",5,6.426714539,2.535460993,7,0.830130962536465,"High","Worker","Y"
1,"Tube",5,6.583923759,2.719858156,7,0.828468548215029,"High","Worker","Y"
1,"Tube",5,5.430851064,1.487588652,8,0.966938124328519,"High","Worker","N"
1,"Tube",5,5.539007092,1.879432624,8,0.949027007011659,"High","Worker","N"
1,"Tube",5,6.470448582,2.72931383,7,0.819252793086577,"High","Worker","Y"
1,"Tube",5,5.144207447,3.242317376,6,0.678519707404317,"High","Worker","Y"
1,"Tube",5,1.760047872,2.968675532,4,0.381003276211593,"High","Worker","Y"
1,"Tube",5,1.956264184,3.12352305,4,0.393627392217922,"High","Worker","Y"
1,"Tube",5,1.985815603,1.413120567,3,0.266429937653895,"High","Worker","Y"
1,"Tube",5,1.987588652,1.792553191,3,0.271702433049772,"High","Worker","Y"
1,"Tube",5,2.092198582,3.265367021,4,0.414831967441725,"High","Worker","Y"
1,"Tube",5,2.17612234,3.017140071,4,0.404249813585543,"High","Worker","Y"
1,"Tube",5,2.205673759,1.758865248,2,0.251509304127485,"High","Worker","N"
1,"Tube",5,2.238771277,3.054964539,4,0.41083764995107,"High","Worker","Y"
1,"Tube",5,2.242907801,1.556737589,2,0.244016449111668,"High","Worker","N"
1,"Tube",5,2.430851064,1.643617021,2,0.228625344264322,"High","Worker","N"
1,"Tube",5,2.527778369,3.057328014,4,0.436723639368006,"High","Worker","Y"
1,"Tube",5,2.666076241,3.05141844,4,0.449241640606188,"High","Worker","Y"
1,"Tube",5,2.735815603,1.576241135,2,0.199828594306458,"High","Worker","N"
1,"Tube",5,2.929078014,1.65248227,2,0.185552859116478,"High","Worker","N"
1,"Tube",5,3.092198582,1.453900709,2,0.165185641652048,"High","Worker","N"
1,"Tube",5,3.207446809,1.620567376,2,0.162133872901938,"High","Worker","N"
1,"Tube",5,3.424941489,3.286051418,5,0.522089038318818,"High","Worker","N"
1,"Tube",5,3.703900709,3.088652482,5,0.544877728020642,"High","Worker","N"
1,"Tube",5,5.382978723,3.213948582,6,0.70026194851754,"High","Worker","Y"
1,"Tube",5,5.39893617,1.539007092,8,0.967673542967291,"High","Worker","N"
1,"Tube",5,5.627659574,1.65248227,8,0.944200617006522,"High","Worker","N"
1,"Tube",5,5.924941489,3.342789007,6,0.751122623343919,"High","Worker","Y"
1,"Tube",5,6.131796099,3.190306738,6,0.769073884694502,"High","Worker","Y"
