"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
11,"Tube",2,4.785158944,4.06151902,6,0.629101182925309,"Low","Obsv","Y"
11,"Tube",2,5.865502542,4.000135861,6,0.706960485317652,"Low","Obsv","Y"
11,"Tube",2,6.694175188,3.754603225,6,0.766320989803397,"Low","Obsv","Y"
11,"Tube",2,6.753512242,2.938207211,7,0.803321288724322,"Low","Obsv","Y"
11,"Tube",2,6.589823818,2.093165722,7,0.854441005189213,"Low","Obsv","Y"
11,"Tube",2,6.512071817,3.371981534,7,0.768370167464017,"Low","Obsv","Y"
11,"Tube",2,6.657345293,1.753512242,7,0.879669792723112,"Low","Obsv","Y"
11,"Tube",2,6.538671186,1.641999503,7,0.885949237817239,"Low","Obsv","Y"
11,"Tube",2,4.587368082,1.735097294,8,0.972659146580373,"Low","Obsv","N"
11,"Tube",2,5.894148016,1.857863612,8,0.881558846363047,"Low","Obsv","N"
11,"Tube",2,5.280316426,2.0461053,8,0.91883238350657,"Low","Obsv","N"
11,"Tube",2,5.959623386,1.677806346,8,0.888883037495708,"Low","Obsv","N"
11,"Tube",2,5.075705896,2.018824578,8,0.933877865820675,"Low","Obsv","N"
11,"Tube",2,4.851999065,1.99154181,8,0.950308702143158,"Low","Obsv","N"
11,"Tube",2,5.212113598,1.694175188,8,0.93041424139958,"Low","Obsv","N"
11,"Tube",2,4.933843277,1.666894466,8,0.949962043098279,"Low","Obsv","N"
11,"Tube",3,2.334915212,2.124808443,2,0.199366294408191,"Low","Obsv","N"
11,"Tube",3,3.203964372,2.053609234,2,0.151496099414316,"Low","Obsv","N"
11,"Tube",3,2.879379746,1.919587195,2,0.157419025969036,"Low","Obsv","N"
11,"Tube",3,2.466145824,1.69133091,2,0.181647695628555,"Low","Obsv","N"
11,"Tube",3,2.864721085,1.846293893,2,0.155746758649877,"Low","Obsv","N"
11,"Tube",3,3.185117523,1.747871458,2,0.132054819807846,"Low","Obsv","N"
11,"Tube",3,3.017589974,1.697613193,2,0.141707300212327,"Low","Obsv","N"
