"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Corner"
1,"Tube",6,1.951334983,2.885727908,4,0.371686737898224,"High","Y"
1,"Tube",12,1.841950006,2.887881794,4,0.372520799411835,"High","Y"
1,"Tube",5,1.839539007,2.896276596,4,0.373315995487547,"High","Y"
1,"Tube",5,1.800531915,2.901595745,4,0.374283366711628,"High","Y"
1,"Tube",10,1.966794057,2.903298235,4,0.388420980997407,"High","Y"
1,"Tube",11,1.76940062,2.903790977,4,0.374957362724777,"High","Y"
1,"Tube",4,1.839108114,2.905353665,4,0.374152651311239,"High","Y"
1,"Tube",6,1.826387592,2.905362498,4,0.374295730486719,"High","Y"
1,"Tube",6,1.851973248,2.90595689,4,0.374078108538021,"High","Y"
1,"Tube",6,1.789499553,2.90714746,4,0.374948011016326,"High","Y"
1,"Tube",4,1.764995266,2.91064744,4,0.37565304433322,"High","Y"
1,"Tube",4,1.800287098,2.914176624,4,0.375434589477219,"High","Y"
1,"Tube",12,1.890144,2.91822616,4,0.374905727270061,"High","Y"
1,"Tube",10,1.691909797,2.9193629,4,0.377874601157417,"High","Y"
1,"Tube",13,1.610572578,2.92155301,4,0.380147523096499,"High","Y"
1,"Tube",13,1.788561626,2.923341844,4,0.376437171715928,"High","Y"
1,"Tube",4,1.896164419,2.924176564,4,0.375418001156537,"High","Y"
1,"Tube",7,1.868080034,2.924707008,4,0.375659115426787,"High","Y"
1,"Tube",11,1.587923634,2.92780999,4,0.38135930543455,"High","Y"
1,"Tube",5,1.87677305,2.928191489,4,0.375913058051345,"High","Y"
1,"Tube",12,1.830347748,2.928935937,4,0.376409173471538,"High","Y"
1,"Tube",4,1.666767508,2.930645557,4,0.37946851138403,"High","Y"
1,"Tube",9,1.898050966,2.942924642,4,0.377134609518222,"High","Y"
1,"Tube",12,1.747346982,2.945000601,4,0.379071553353483,"High","Y"
1,"Tube",11,2.02115546,2.947381038,4,0.389141605156394,"High","Y"
1,"Tube",9,1.652352684,2.948285332,4,0.381391517838925,"High","Y"
1,"Tube",13,2.243820047,2.94838553,4,0.409660234712362,"High","Y"
1,"Tube",13,1.733107752,2.949279947,4,0.37971774585756,"High","Y"
1,"Tube",13,1.788561626,2.949279947,4,0.378801184376196,"High","Y"
1,"Tube",12,2.158780889,2.949463008,4,0.401812089664537,"High","Y"
1,"Tube",7,1.894018137,2.95064511,4,0.377868212119041,"High","Y"
1,"Tube",10,1.881115846,2.951492229,4,0.378026660318291,"High","Y"
1,"Tube",13,2.131123463,2.953752034,4,0.399254753908133,"High","Y"
1,"Tube",7,2.449152563,2.955712879,4,0.428604289604723,"High","Y"
1,"Tube",11,2.196405295,2.958945748,4,0.405283951420431,"High","Y"
1,"Tube",13,1.684809216,2.959118538,4,0.381592901863828,"High","Y"
1,"Tube",11,2.257787217,2.959835341,4,0.410949084397169,"High","Y"
1,"Tube",13,2.441486277,2.960907372,4,0.427901055585963,"High","Y"
1,"Tube",12,4.603287338,2.961065266,5,0.627399164745836,"High","N"
1,"Tube",8,2.250536481,2.961373391,4,0.410283303320334,"High","Y"
1,"Tube",13,1.666026452,2.962696207,4,0.382343250670371,"High","Y"
1,"Tube",7,2.175759596,2.963166953,4,0.403391888647962,"High","Y"
1,"Tube",7,2.30962346,2.965254523,4,0.415744229238425,"High","Y"
1,"Tube",8,1.776645207,2.965844063,4,0.380485376889511,"High","Y"
1,"Tube",12,2.813862208,2.967312635,4,0.462270760569336,"High","Y"
1,"Tube",4,1.853224847,2.967701981,4,0.379736117838342,"High","Y"
1,"Tube",12,1.871401891,2.969097598,4,0.379715587340858,"High","Y"
1,"Tube",8,1.940271817,2.969420601,4,0.37942525067598,"High","Y"
1,"Tube",8,2.570636624,2.97120887,4,0.43983747892408,"High","Y"
1,"Tube",13,1.600733987,2.97164038,4,0.384825235889756,"High","Y"
1,"Tube",13,2.379771481,2.97164038,4,0.422235346078958,"High","Y"
1,"Tube",4,1.787934957,2.972995756,4,0.380972631811182,"High","Y"
1,"Tube",6,2.407691047,2.973191081,4,0.42481565739237,"High","Y"
1,"Tube",6,2.361876409,2.973785474,4,0.420594666461335,"High","Y"
1,"Tube",13,4.250892534,2.974323632,5,0.594885835253727,"High","N"
1,"Tube",7,2.545153953,2.974794378,4,0.437497536689979,"High","Y"
1,"Tube",11,1.740933642,2.974958423,4,0.381898391574489,"High","Y"
1,"Tube",9,2.229520284,2.975088781,4,0.408411577316346,"High","Y"
1,"Tube",7,2.110467131,2.975688795,4,0.397493710359836,"High","Y"
1,"Tube",7,2.189175856,2.975688795,4,0.404707128869252,"High","Y"
1,"Tube",11,4.646344615,2.976737609,6,0.631380683612311,"High","Y"
1,"Tube",11,2.252449658,2.977627202,4,0.410539561754935,"High","Y"
1,"Tube",12,4.8540746,2.979807374,6,0.650552776842144,"High","Y"
1,"Tube",11,1.700901954,2.980295982,4,0.383148461843412,"High","Y"
1,"Tube",9,2.353709597,2.98044947,4,0.419878122321147,"High","Y"
1,"Tube",12,5.013828764,2.981592337,6,0.66529657020994,"High","Y"
1,"Tube",12,5.606436388,2.982484818,6,0.719984119795026,"High","Y"
1,"Tube",11,1.785413296,2.982964761,4,0.381917391860753,"High","Y"
1,"Tube",13,2.127545794,2.983267805,4,0.3991614705016,"High","Y"
1,"Tube",12,1.762519165,2.9833773,4,0.382299323613559,"High","Y"
1,"Tube",12,4.108852664,2.9833773,5,0.581787883324361,"High","N"
1,"Tube",7,2.143560572,2.984632969,4,0.400639231708368,"High","Y"
1,"Tube",11,4.010285569,2.984743947,5,0.572694357272508,"High","N"
1,"Tube",11,4.230015058,2.984743947,5,0.592970033335556,"High","N"
1,"Tube",11,5.522593791,2.98563354,6,0.712249396323854,"High","Y"
1,"Tube",13,5.664966332,2.985951057,6,0.725387997362385,"High","Y"
1,"Tube",4,2.235553619,2.987112489,4,0.409076079172005,"High","Y"
1,"Tube",13,2.71517798,2.987739892,4,0.45322367000837,"High","Y"
1,"Tube",12,1.744669538,2.987839707,4,0.383000383932712,"High","Y"
1,"Tube",9,2.315291321,2.988490505,4,0.416405365624416,"High","Y"
1,"Tube",11,2.481964671,2.989191912,4,0.431741602225359,"High","Y"
1,"Tube",13,4.990575666,2.989528727,6,0.663158363368887,"High","Y"
1,"Tube",4,1.755584698,2.990054063,4,0.383017951610232,"High","Y"
1,"Tube",13,1.704486397,2.990423144,4,0.383986564051765,"High","Y"
1,"Tube",13,4.099736006,2.990423144,5,0.580956619567502,"High","N"
1,"Tube",12,4.953140031,2.990517151,6,0.659704953116762,"High","Y"
1,"Tube",13,4.932438539,2.991317561,6,0.657795575722646,"High","Y"
1,"Tube",11,2.618962004,2.991860692,4,0.444375234222144,"High","Y"
1,"Tube",5,2.411347518,2.992021277,4,0.425263088290375,"High","Y"
1,"Tube",7,2.985207279,2.992682725,4,0.478141090769215,"High","Y"
1,"Tube",13,4.161450801,2.993106396,5,0.586655411811655,"High","N"
1,"Tube",8,1.807939914,2.993562232,4,0.3825875575474,"High","Y"
1,"Tube",5,1.846631206,2.993794326,4,0.382192265383362,"High","Y"
1,"Tube",7,1.794737813,2.994471559,4,0.382839506658259,"High","Y"
1,"Tube",4,1.890870644,2.995347838,4,0.382003674091978,"High","Y"
1,"Tube",11,1.602157123,2.995419064,4,0.38687804284789,"High","Y"
1,"Tube",5,1.787234043,2.995567376,4,0.383041437398937,"High","Y"
1,"Tube",11,2.683012705,2.996308657,4,0.450300011170132,"High","Y"
1,"Tube",7,2.933926756,2.996856076,4,0.473428344170034,"High","Y"
1,"Tube",5,2.371453901,2.99822695,4,0.421653127338356,"High","Y"
1,"Tube",11,5.062674173,2.998977436,6,0.669822828732534,"High","Y"
1,"Tube",8,1.983190272,3.000715308,4,0.388418841442403,"High","Y"
1,"Tube",11,4.959481377,3.000756622,6,0.660303226457342,"High","Y"
1,"Tube",10,2.349668561,3.001471185,4,0.419690132659246,"High","Y"
1,"Tube",13,1.633827428,3.002050569,4,0.386630910542701,"High","Y"
1,"Tube",13,4.198121912,3.002050569,5,0.590055142337666,"High","N"
1,"Tube",4,2.42024813,3.002406205,4,0.426171593986667,"High","Y"
1,"Tube",6,1.781169132,3.00293927,4,0.383799052735584,"High","Y"
1,"Tube",6,2.557033523,3.00293927,4,0.438744950020017,"High","Y"
1,"Tube",6,1.825198807,3.003535447,4,0.38330118357515,"High","Y"
1,"Tube",8,1.787374821,3.004291845,4,0.383835567916634,"High","Y"
1,"Tube",9,2.353709597,3.004572574,4,0.420095882012304,"High","Y"
1,"Tube",12,1.617044703,3.004796852,4,0.387305715221488,"High","Y"
1,"Tube",11,1.772069399,3.006094181,4,0.38421914638794,"High","Y"
1,"Tube",11,4.882086779,3.006983774,6,0.65317155911435,"High","Y"
1,"Tube",5,3.074468085,3.007092199,4,0.486427882799441,"High","Y"
1,"Tube",7,4.756749273,3.007589084,6,0.641607838850836,"High","Y"
1,"Tube",8,2.136087268,3.008762518,4,0.400490380260177,"High","Y"
1,"Tube",4,1.830285155,3.008876962,4,0.383736842137345,"High","Y"
1,"Tube",8,2.896101574,3.010550787,4,0.4700082801023,"High","Y"
1,"Tube",8,4.679899857,3.010550787,6,0.634522661195115,"High","Y"
1,"Tube",12,5.402058156,3.011044222,6,0.701156401520096,"High","Y"
1,"Tube",11,4.829600788,3.011431739,6,0.648336593919852,"High","Y"
1,"Tube",6,1.806753002,3.013054654,4,0.384385071059871,"High","Y"
1,"Tube",9,2.319758562,3.013507057,4,0.417116437300337,"High","Y"
1,"Tube",13,1.603417239,3.014572412,4,0.388532441496837,"High","Y"
1,"Tube",4,2.895510885,3.015345955,4,0.469981746547479,"High","Y"
1,"Tube",11,1.727589746,3.015879705,4,0.38584198810728,"High","Y"
1,"Tube",11,4.193541742,3.015879705,5,0.589663954569416,"High","N"
1,"Tube",10,2.28362494,3.016643368,4,0.413886179262717,"High","Y"
1,"Tube",11,4.786010728,3.016769298,6,0.644325174890862,"High","Y"
1,"Tube",5,1.890957447,3.019503546,4,0.384228174587102,"High","Y"
1,"Tube",5,2.526595745,3.020390071,4,0.436109599705198,"High","Y"
1,"Tube",7,5.130615717,3.020708397,6,0.676127470450167,"High","Y"
1,"Tube",8,5.075107296,3.021280401,6,0.671007165166806,"High","Y"
1,"Tube",13,2.537188931,3.022622168,4,0.437104638635267,"High","Y"
1,"Tube",6,1.874581586,3.023170037,4,0.384667914403162,"High","Y"
1,"Tube",8,4.504649499,3.023962804,5,0.618384177830434,"High","N"
1,"Tube",10,1.694587241,3.025568182,4,0.387351423328281,"High","Y"
1,"Tube",7,1.845719601,3.025776166,4,0.38513749038359,"High","Y"
1,"Tube",5,1.656028369,3.026595745,4,0.388281843451917,"High","Y"
1,"Tube",8,2.563483548,3.026645207,4,0.439558193362728,"High","Y"
1,"Tube",8,4.386623748,3.026645207,5,0.6075037615074,"High","N"
1,"Tube",4,4.854795192,3.027110487,6,0.65069380990814,"High","Y"
1,"Tube",7,5.00897496,3.027863736,6,0.664919654774475,"High","Y"
1,"Tube",12,1.67416351,3.028001368,4,0.38800057184733,"High","Y"
1,"Tube",13,1.682125964,3.028883089,4,0.387908515795977,"High","Y"
1,"Tube",13,1.932562816,3.028883089,4,0.384927493404423,"High","Y"
