"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"250",2,13,"Circle",2,0.108108108108108,"High","N"
"251",2,13,"Circle",3,0.162162162162162,"High","N"
"252",2,13,"Circle",4,0.297297297297297,"High","N"
"253",2,13,"Circle",5,0.324324324324324,"High","N"
"254",2,13,"Circle",6,0.0810810810810811,"High","N"
"255",2,13,"Circle",7,0,"High","N"
"256",2,13,"Circle",8,0,"High","N"
"257",2,8,"Circle",1,0,"High","Y"
"258",2,8,"Circle",2,0.0263157894736842,"High","N"
"259",2,8,"Circle",3,0,"High","N"
"260",2,8,"Circle",4,0.0263157894736842,"High","N"
"261",2,8,"Circle",5,0.131578947368421,"High","N"
"262",2,8,"Circle",6,0.184210526315789,"High","N"
"263",2,8,"Circle",7,0.368421052631579,"High","N"
"264",2,8,"Circle",8,0.263157894736842,"High","N"
"265",2,9,"Circle",1,0,"High","Y"
"266",2,9,"Circle",2,0.0285714285714286,"High","N"
"267",2,9,"Circle",3,0,"High","N"
"268",2,9,"Circle",4,0.0857142857142857,"High","N"
"269",2,9,"Circle",5,0.285714285714286,"High","N"
"270",2,9,"Circle",6,0.228571428571429,"High","N"
"271",2,9,"Circle",7,0.285714285714286,"High","N"
"272",2,9,"Circle",8,0.0857142857142857,"High","N"
"273",2,7,"Circle",1,0,"High","Y"
"274",2,7,"Circle",2,0,"High","N"
"275",2,7,"Circle",3,0.0294117647058824,"High","N"
"276",2,7,"Circle",4,0.0294117647058824,"High","N"
"277",2,7,"Circle",5,0.176470588235294,"High","N"
"278",2,7,"Circle",6,0.117647058823529,"High","N"
"279",2,7,"Circle",7,0.382352941176471,"High","N"
"280",2,7,"Circle",8,0.264705882352941,"High","N"
"281",2,10,"Circle",1,0,"High","Y"
"282",2,10,"Circle",2,0,"High","N"
"283",2,10,"Circle",3,0.032258064516129,"High","N"
"284",2,10,"Circle",4,0.0645161290322581,"High","N"
"285",2,10,"Circle",5,0.225806451612903,"High","N"
"286",2,10,"Circle",6,0.258064516129032,"High","N"
"287",2,10,"Circle",7,0.387096774193548,"High","N"
"288",2,10,"Circle",8,0.032258064516129,"High","N"
