"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
2,10,"Circle",5,0.225806451612903,"High","N"
2,10,"Circle",6,0.258064516129032,"High","N"
2,10,"Circle",7,0.387096774193548,"High","N"
2,10,"Circle",8,0.032258064516129,"High","N"
2,4,"Circle",1,0,"High","Y"
2,4,"Circle",2,0,"High","N"
2,4,"Circle",3,0,"High","N"
2,4,"Circle",4,0.0303030303030303,"High","N"
2,4,"Circle",5,0.242424242424242,"High","N"
2,4,"Circle",6,0.212121212121212,"High","N"
2,4,"Circle",7,0.363636363636364,"High","N"
2,4,"Circle",8,0.151515151515152,"High","N"
2,12,"Circle",1,0,"High","Y"
2,12,"Circle",2,0,"High","N"
2,12,"Circle",3,0,"High","N"
2,12,"Circle",4,0,"High","N"
2,12,"Circle",5,0.15625,"High","N"
2,12,"Circle",6,0.34375,"High","N"
2,12,"Circle",7,0.375,"High","N"
2,12,"Circle",8,0.125,"High","N"
2,11,"Circle",1,0,"High","Y"
2,11,"Circle",2,0,"High","N"
2,11,"Circle",3,0,"High","N"
2,11,"Circle",4,0,"High","N"
2,11,"Circle",5,0.241379310344828,"High","N"
2,11,"Circle",6,0.206896551724138,"High","N"
2,11,"Circle",7,0.448275862068966,"High","N"
2,11,"Circle",8,0.103448275862069,"High","N"
2,6,"Circle",1,0,"High","Y"
2,6,"Circle",2,0,"High","N"
2,6,"Circle",3,0,"High","N"
2,6,"Circle",4,0,"High","N"
2,6,"Circle",5,0.027027027027027,"High","N"
2,6,"Circle",6,0.297297297297297,"High","N"
2,6,"Circle",7,0.297297297297297,"High","N"
2,6,"Circle",8,0.378378378378378,"High","N"
3,5,"Tube",1,0.159340659340659,"High","Y"
3,5,"Tube",2,0.21978021978022,"High","N"
3,5,"Tube",3,0.296703296703297,"High","Y"
3,5,"Tube",4,0.225274725274725,"High","Y"
3,5,"Tube",5,0.0494505494505494,"High","N"
3,5,"Tube",6,0.0164835164835165,"High","Y"
3,5,"Tube",7,0.021978021978022,"High","Y"
3,5,"Tube",8,0.010989010989011,"High","N"
3,7,"Tube",1,0.121827411167513,"High","Y"
3,7,"Tube",2,0.233502538071066,"High","N"
3,7,"Tube",3,0.274111675126904,"High","Y"
3,7,"Tube",4,0.274111675126904,"High","Y"
3,7,"Tube",5,0.0355329949238579,"High","N"
3,7,"Tube",6,0.0304568527918782,"High","Y"
3,7,"Tube",7,0.0253807106598985,"High","Y"
3,7,"Tube",8,0.0050761421319797,"High","N"
3,13,"Tube",1,0.132352941176471,"High","Y"
3,13,"Tube",2,0.318627450980392,"High","N"
3,13,"Tube",3,0.0980392156862745,"High","Y"
3,13,"Tube",4,0.254901960784314,"High","Y"
3,13,"Tube",5,0.0931372549019608,"High","N"
3,13,"Tube",6,0.0931372549019608,"High","Y"
3,13,"Tube",7,0.00490196078431373,"High","Y"
3,13,"Tube",8,0.00490196078431373,"High","N"
3,11,"Tube",1,0.108247422680412,"High","Y"
3,11,"Tube",2,0.27319587628866,"High","N"
3,11,"Tube",3,0.22680412371134,"High","Y"
3,11,"Tube",4,0.268041237113402,"High","Y"
3,11,"Tube",5,0.0360824742268041,"High","N"
3,11,"Tube",6,0.0824742268041237,"High","Y"
3,11,"Tube",7,0,"High","Y"
3,11,"Tube",8,0.00515463917525773,"High","N"
3,4,"Tube",1,0.113095238095238,"High","Y"
3,4,"Tube",2,0.30952380952381,"High","N"
3,4,"Tube",3,0.18452380952381,"High","Y"
3,4,"Tube",4,0.31547619047619,"High","Y"
3,4,"Tube",5,0.0416666666666667,"High","N"
3,4,"Tube",6,0.0119047619047619,"High","Y"
3,4,"Tube",7,0.0178571428571429,"High","Y"
3,4,"Tube",8,0.00595238095238095,"High","N"
3,10,"Tube",1,0.105555555555556,"High","Y"
3,10,"Tube",2,0.311111111111111,"High","N"
3,10,"Tube",3,0.183333333333333,"High","Y"
3,10,"Tube",4,0.266666666666667,"High","Y"
3,10,"Tube",5,0.05,"High","N"
3,10,"Tube",6,0.0666666666666667,"High","Y"
3,10,"Tube",7,0.0111111111111111,"High","Y"
3,10,"Tube",8,0.00555555555555556,"High","N"
3,9,"Tube",1,0.0969387755102041,"High","Y"
3,9,"Tube",2,0.311224489795918,"High","N"
3,9,"Tube",3,0.219387755102041,"High","Y"
3,9,"Tube",4,0.26530612244898,"High","Y"
3,9,"Tube",5,0.0357142857142857,"High","N"
3,9,"Tube",6,0.0510204081632653,"High","Y"
3,9,"Tube",7,0.0153061224489796,"High","Y"
3,9,"Tube",8,0.00510204081632653,"High","N"
3,12,"Tube",1,0.0833333333333333,"High","Y"
3,12,"Tube",2,0.333333333333333,"High","N"
3,12,"Tube",3,0.215686274509804,"High","Y"
3,12,"Tube",4,0.245098039215686,"High","Y"
3,12,"Tube",5,0.0343137254901961,"High","N"
3,12,"Tube",6,0.0735294117647059,"High","Y"
3,12,"Tube",7,0.00980392156862745,"High","Y"
3,12,"Tube",8,0.00490196078431373,"High","N"
3,6,"Tube",1,0.0869565217391304,"High","Y"
3,6,"Tube",2,0.298913043478261,"High","N"
3,6,"Tube",3,0.228260869565217,"High","Y"
3,6,"Tube",4,0.315217391304348,"High","Y"
3,6,"Tube",5,0.0380434782608696,"High","N"
