"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood","Sex","Ratio"
"82",12,"Tube",9,6.215277778,1.923123173,"Low","Y",7,0.170636401355539,"M",0.833333333333333
"83",12,"Tube",9,6.077607822,1.627070541,"Low","Y",7,0.192951560362385,"M",0.833333333333333
"84",12,"Tube",9,5.970394737,1.628289474,"Low","Y",7,0.19152222397883,"M",0.833333333333333
"85",12,"Tube",9,5.810794956,1.508894371,"Low","Y",7,0.201435066651125,"M",0.833333333333333
"86",12,"Tube",9,5.907041301,1.507675439,"Low","Y",7,0.201729360420445,"M",0.833333333333333
"87",12,"Tube",9,5.280824196,1.650219298,"Low","N",8,0.224372531612053,"M",0.833333333333333
"88",12,"Tube",9,5.107821637,1.630725512,"Low","N",8,0.239471295368984,"M",0.833333333333333
"89",12,"Tube",9,5.081017909,1.736719664,"Low","N",8,0.23979224727263,"M",0.833333333333333
"90",12,"Tube",9,5.145590278,1.46747076,"Low","N",8,0.241975402578963,"M",0.833333333333333
"91",12,"Tube",9,4.574195906,1.617324561,"Low","N",8,0.285757996117065,"M",0.833333333333333
"92",12,"Tube",9,4.464546784,1.67093019,"Low","N",8,0.29463333041705,"M",0.833333333333333
"93",12,"Tube",10,3.653774637,0.974339903,"Low","Y",1,0.229594475438629,"M",0.9
"94",12,"Tube",10,2.674475642,1.746621421,"Low","N",2,0.120020266308053,"M",0.9
"95",12,"Tube",10,2.756290443,1.5681164,"Low","N",2,0.130003353406417,"M",0.9
"96",12,"Tube",10,2.637287096,1.47886389,"Low","N",2,0.122531113651406,"M",0.9
"97",12,"Tube",10,2.386885459,1.671625139,"Low","N",2,0.0960594959678083,"M",0.9
"98",12,"Tube",10,2.317465601,1.524111194,"Low","N",2,0.0952477965834976,"M",0.9
"99",12,"Tube",10,1.962936036,1.520392339,"Low","N",2,0.0719934387947348,"M",0.9
"100",12,"Tube",10,1.646833395,1.59600781,"Low","Y",3,0.162910369406064,"M",0.9
"101",12,"Tube",10,1.504276683,1.956117516,"Low","Y",3,0.133435118602545,"M",0.9
"102",12,"Tube",10,1.729267386,2.114168836,"Low","Y",3,0.116689645593863,"M",0.9
"103",12,"Tube",10,1.413164745,2.984380811,"Low","Y",4,0.0659931934017443,"M",0.9
"104",12,"Tube",10,1.57493492,2.861658609,"Low","Y",3,0.0592184844134748,"M",0.9
"105",12,"Tube",10,1.736705095,2.876534028,"Low","Y",3,0.049435172373973,"F",0.9
"106",12,"Tube",10,2.639146523,3.160407215,"Low","Y",4,0.0488281038051279,"M",0.9
"107",12,"Tube",10,2.820132019,3.237262923,"Low","Y",4,0.0638519871578926,"M",0.9
"108",12,"Tube",10,2.941613983,3.373620305,"Low","Y",4,0.0750088206937025,"F",0.9
"109",12,"Tube",10,3.068055039,3.326515433,"Low","N",5,0.0858146753771536,"M",0.9
"110",12,"Tube",10,3.231684641,3.23912235,"Low","N",5,0.100230435615376,"M",0.9
"111",12,"Tube",10,3.393454816,3.213090368,"Low","N",5,0.114627212142912,"M",0.9
"112",12,"Tube",10,3.774637412,3.402751952,"Low","N",5,0.148645835810481,"M",0.9
"113",12,"Tube",10,4.303333953,3.206271848,"Low","N",5,0.195102720698187,"M",0.9
"114",12,"Tube",10,3.901697657,3.407089996,"Low","N",5,0.159886697492472,"M",0.9
"115",12,"Tube",10,4.660343994,3.362463741,"Low","Y",6,0.226725346164287,"F",0.9
"116",12,"Tube",10,4.849386389,3.188917813,"Low","Y",6,0.243446064220041,"M",0.9
